"ENTREZID","SYMBOL","TXNAME","TXID","TXCHROM","TXSTART","TXEND"
"127124","ATP6V1G3",7336,"uc009wzd.3","chr1",198492352,198509815
"183","AGT",7783,"uc001hty.4","chr1",230838272,230850336
"23266","ADGRL2",1652,"uc001dis.3","chr1",81771845,82458107
"249","ALPL",559,"uc001bet.3","chr1",21835858,21904905
"266675","BEST4",5184,"uc001cmm.3","chr1",45249257,45253426
"63827","BCAN",2733,"uc001fpo.3","chr1",156611740,156623264
"8416","ANXA9",2395,"uc001ewa.2","chr1",150954499,150968114
"9447","AIM2",6827,"uc001ftj.1","chr1",159032275,159046647
"101","ADAM8",40850,"uc009ybi.3","chr10",135075920,135090407
"105","ADARB2",39251,"uc001igj.2","chr10",1223253,1234186
"1244","ABCC2",38777,"uc001kqf.2","chr10",101542463,101611662
"140766","ADAMTS14",38248,"uc001jrg.3","chr10",72432559,72522195
"25805","BAMBI",37854,"uc001iuj.1","chr10",28966424,28971868
"27063","ANKRD1",40275,"uc001khe.1","chr10",92671857,92681032
"55130","ARMC4",39505,"uc010qds.2","chr10",28101097,28270846
"253935","ANGPTL5",44940,"uc001pgl.3","chr11",101761405,101787253
"338707","B4GALNT4",40898,"uc001lpb.3","chr11",369795,382117
"8424","BBOX1",41388,"uc001mre.1","chr11",27062509,27149354
"10677","AVIL",48528,"uc001sqj.2","chr12",58191160,58209852
"115557","ARHGEF25",46551,"uc009zpy.4","chr12",58003963,58011028
"144568","A2ML1",45738,"uc001quz.5","chr12",8975150,9029381
"2583","B4GALNT1",48510,"uc010sru.3","chr12",58019678,58026464
"347902","AMIGO2",48046,"uc001rpk.3","chr12",47469490,47473734
"397","ARHGDIB",47815,"uc001rcq.1","chr12",15094950,15114562
"429","ASCL1",46957,"uc001tjr.4","chr12",103351452,103354294
"552","AVPR1A",48551,"uc001sro.2","chr12",63536539,63546590
"586","BCAT1",47878,"uc001rgc.3","chr12",24962958,25055322
"8092","ALX1",46781,"uc001tae.4","chr12",85674036,85695561
"81575","APOLD1",45825,"uc001rau.4","chr12",12878851,12944399
"84519","ACRBP",47583,"uc001qpt.1","chr12",6747242,6748017
"94","ACVRL1",46268,"uc021qxz.1","chr12",52300692,52307134
"241","ALOX5AP",49467,"uc010tdr.2","chr13",31287615,31338565
"8874","ARHGEF7",49914,"uc001vrr.2","chr13",111767624,111947542
"10538","BATF",51710,"uc001xrr.3","chr14",75988784,76013334
"10965","ACOT2",51647,"uc001xom.4","chr14",74034324,74042362
"623","BDKRB1",51947,"uc001yfh.3","chr14",96722547,96731100
"176","ACAN",54943,"uc002bmx.3","chr15",89346674,89394755
"220","ALDH1A3",55140,"uc002bwn.4","chr15",101420009,101456830
"366","AQP9",54246,"uc010ugx.1","chr15",58430395,58478110
"8120","AP3B2",56529,"uc010bmp.3","chr15",83328033,83331427
"83464","APH1B",54413,"uc002ama.3","chr15",63569749,63601325
"8854","ALDH1A2",55996,"uc002aew.3","chr15",58245622,58306295
"9915","ARNT2",54777,"uc002bfq.3","chr15",80696692,80767902
"170692","ADAMTS18",59934,"uc002ffc.4","chr16",77316025,77469011
"398","ARHGDIG",56906,"uc002cgm.1","chr16",330606,333368
"9564","BCAR1",59899,"uc002fdt.3","chr16",75262928,75270401
"4185","ADAM11",61304,"uc002ihh.3","chr17",42836568,42859214
"147495","APCDD1",64668,"uc002kom.4","chr18",10454625,10488698
"1820","ARID3A",65803,"uc002lql.3","chr19",926037,972803
"344","APOC2",67287,"uc021uvn.1","chr19",45451542,45452652
"84658","ADGRE3",68774,"uc002mzi.4","chr19",14730051,14785730
"245973","ATP6V1C2",8047,"uc002ras.3","chr2",10861775,10925236
"316","AOX1",9907,"uc002uvx.3","chr2",201450731,201536217
"33","ACADL",12650,"uc002vdz.4","chr2",211052716,211090215
"55515","ASIC4",10256,"uc010fwi.2","chr2",220378892,220398542
"79998","ANKRD53",8614,"uc002shk.4","chr2",71205575,71212629
"83607","AMMECR1L",11904,"uc002tpl.3","chr2",128619207,128642434
"84168","ANTXR1",8585,"uc002sfd.2","chr2",69240276,69330575
"8745","ADAM23",10063,"uc002vbq.4","chr2",207308368,207485854
"10005","ACOT8",72170,"uc002xqa.2","chr20",44470360,44486048
"55653","BCAS4",71284,"uc002xvp.1","chr20",49411467,49457463
"11096","ADAMTS5",73083,"uc002ymg.3","chr21",28290231,28339439
"25825","BACE2",72788,"uc002yyw.3","chr21",42539728,42648524
"9510","ADAMTS1",73082,"uc002ymf.3","chr21",28208606,28217728
"10777","ARPP21",13431,"uc003cfz.4","chr3",35680666,35727379
"10840","ALDH1L1",16606,"uc003eim.2","chr3",125822404,125899645
"111","ADCY5",16547,"uc021xdd.1","chr3",123001143,123135189
"185","AGTR1",14714,"uc003ewg.4","chr3",148415658,148460790
"491","ATP2B2",15340,"uc003bvs.3","chr3",10365707,10377987
"51146","A4GNT",16757,"uc003ers.2","chr3",137842560,137851229
"590","BCHE",16987,"uc003fem.4","chr3",165490692,165555253
"8309","ACOX2",16133,"uc003dkl.3","chr3",58490863,58522929
"8706","B3GALNT1",16972,"uc003fdv.3","chr3",160801671,160822683
"130","ADH6",19661,"uc003huo.2","chr4",100123795,100140403
"258","AMBN",18013,"uc003hfl.3","chr4",71457975,71473004
"287","ANK2",18379,"uc003ibc.2","chr4",113739239,114257213
"474","ATOH1",18249,"uc003hta.1","chr4",94750078,94751142
"51802","ASIC5",20066,"uc003ipe.1","chr4",156750881,156787425
"9429","ABCG2",19598,"uc003hrf.3","chr4",89011416,89053069
"9508","ADAMTS3",19402,"uc003hgk.2","chr4",73146686,73434516
"147","ADRA1B",21703,"uc003lxt.1","chr5",159343740,159400017
"285598","ARL10",21858,"uc003meb.3","chr5",175792502,175796963
"8728","ADAM19",23321,"uc003lww.3","chr5",156822542,157002831
"56895","AGPAT4",27747,"uc003qtr.1","chr6",161551057,161695107
"60468","BACH2",27132,"uc003pnw.3","chr6",90636247,91006627
"165","AEBP1",28342,"uc003tkb.4","chr7",44143960,44154164
"231","AKR1B1",31418,"uc003vrp.1","chr7",134127107,134143888
"340273","ABCB5",28075,"uc010kuh.3","chr7",20655245,20796637
"51666","ASB4",28901,"uc003unx.3","chr7",95115213,95158113
"245972","ATP6V0D2",32554,"uc003ydp.1","chr8",87111139,87166454
"284","ANGPT1",33893,"uc011lhv.2","chr8",108261710,108348743
"528","ATP6V1C1",32685,"uc003ykz.4","chr8",104033248,104085285
"8756","ADAM7",32056,"uc003xea.1","chr8",24298509,24325151
"9639","ARHGEF10",31783,"uc003wpq.1","chr8",1772149,1873570
"11093","ADAMTS13",35643,"uc004cdp.4","chr9",136279459,136324508
"229","ALDOB",36833,"uc004bbk.2","chr9",104182842,104198062
